name_of_space,address,hausprojekt,date_founded,co_housing,hackerspace_tech_meetup,tool_share,woodshop_metalshop_ceramic_studio,women_trans_queer_space_events,arts_space,guest_room,classes_workshops,free_store,coworking,volxkuchen,health_sport_services,agriculture,wagenplatz,child_friendly,silkscreen_studio,medienwerkstatt,sewing_workshop,film_video_collective_resources,kino,archive_reading_room,bike_workshop,cafe_bar,music_venue_parties,date_purchased_contract,website,video,stammtisch,immigrant_initiatives_events,community_youth_center,food_share_coop,barter_spende_free_economy,legal_services,infoshop,language_class,poster_text_distribution,soli_events_infrastructure,open_hours,flomarkt,offenes_plenum,cooperative_business,green_energy_infrastructure,metal_shop,photo_lab,ceramic_studio,photo_url,freiflache,created_at,updated_at,cartodb_georef_status,longitude,latitude,the_geom,cartodb_id,the_geom_webmercator,needs_moderation,printid
Abstand,"Rigaerstr. 78, 10247 Berlin",Yes (?),,No,No,No,No,No,No,No,No,No,No,"Yes, Mo 20:00",No,No,No,No,No,No,No,No,"Yes, Mo 20:00",No,No,Yes (?),Yes (?),,http://www.tommyhaus.org/abc,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.46418,52.51667,0101000020E610000021EA3E00A9ED2A408369183E22424A40,209,0101000020110F000016465BA9C9DE36416B696AA7824C5A41,,1
Ackerkeller,"Bergstr. 68, 10115 Berlin",Yes (?),,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,http://www.ackerkeller.de/,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.39417,52.53156,0101000020E6100000EF2076A6D0C92A404EEE77280A444A40,71,0101000020110F000048871A2F58C0364182187DBB2B4F5A41,,2
Ackerstr. 18,Ackerstr. 18  Berlin Mitte,Yes,Besetzt: 1988,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1992 legalisiert,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.3967,52.5314,0101000020E61000007AA52C431CCB2A40158C4AEA04444A40,28,0101000020110F0000ACEC82D271C136418F18A369244F5A41,,3
Adalbertstr. 22,Adalbertstr. 22  10997 Berlin Kreuzberg,Yes,Besetzt: 2.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42064,52.50287,0101000020E610000065C746205ED72A40DC114E0B5E404A40,25,0101000020110F0000487198CFDACB3641A7BC90A30B4A5A41,,4
Adalbertstr. 25,Adalbertstr. 25  Berlin Mitte,Yes,Besetzt: 8.3.1990,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42272,52.50577,0101000020E6100000F1BA7EC16ED82A4022A64412BD404A40,49,0101000020110F0000C178FF5AC2CC3641FBDD223A904A5A41,,5
Adalbertstr. 26,Adalbertstr. 26  Berlin Mitte,Yes,Besetzt: 8.3.1990,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42277,52.50586,0101000020E6100000B875374F75D82A40622D3E05C0404A40,48,0101000020110F0000D82DE3EBC7CC36416AE98F57944A5A41,,6
Adalbertstr. 27,Adalbertstr. 27  Berlin Mitte,Yes,Besetzt: 1990,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42283,52.50596,0101000020E61000000D897B2C7DD82A40C68A1A4CC3404A40,47,0101000020110F0000623AC199CECC364158B809EA984A5A41,,7
Adalbertstr. 32,Adalbertstr. 32  Berlin Mitte,Yes,Besetzt: 21.3.1990,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42325,52.50653,0101000020E610000062105839B4D82A40B0389CF9D5404A40,59,0101000020110F00000E92D35AFDCC3641820BCDF9B24A5A41,,8
Adalbertstr. 71,Adalbertstr. 71  10997 Berlin Kreuzberg,Yes,Besetzt: 2.10.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42131,52.50438,0101000020E61000009DF4BEF1B5D72A40D4601A868F404A40,51,0101000020110F000075521D6525CC364191D9D4AC504A5A41,,9
Adalbertstr. 74,Adalbertstr. 74 10997 Berlin Kreuzberg,Yes,Besetzt: 12.1.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41799,52.49928,0101000020E61000002E1C08C902D62A4000C63368E83F4A40,50,0101000020110F0000DCF273D0B3CA36418FE81A8467495A41,,10
Adalbertstr. 83,Adalbertstr. 83  10997 Berlin Kreuzberg,Yes,Besetzt: 16.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42004,52.50259,0101000020E610000010069E7B0FD72A40F8A57EDE54404A40,24,0101000020110F000016F4EB0498CB3641C45D78D6FE495A41,,11
Admiralstr. 18,Admiralstr. 18  10999 Berlin Kreuzberg,Yes,Besetzt: 17.3.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41534,52.49595,0101000020E6100000F870C971A7D42A40C139234A7B3F4A40,68,0101000020110F000071744FD18CC93641083C9D4ACF485A41,,12
Admiralstr. 20 “Dietmar-Marx Haus”,Admiralstr. 20  10999 Berlin Kreuzberg,Yes,Besetzt: 24.10.1980,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4156,52.49574,0101000020E6100000696FF085C9D42A40D6A88768743F4A40,56,0101000020110F00006555BCC2A9C93641397B2DB1C5485A41,,13
A-Laden,Brunnenstr. 7 10119 Berlin,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,http://www.a-laden.org/,No,Yes,No,No,No,Yes,No,"Yes, (Anarchistisch) Do 18:00-22:00",No,Yes (?),,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.400386,52.530772,0101000020E6100000718DCF64FFCC2A40F6D03E56F0434A40,208,0101000020110F000041325D250CC3364171F0D5AE074F5A41,,14
